class,year,elevation,eastness,northness,roughness,dew_temp,precip_annual,temp_annual_mean,temp_annual_min,temp_annual_max,temp_january_min,vapor_min,vapor_max,county,longitude,latitude
Yes,2014,546,-92,-38,28,2.32,2883,8.21,-2.8,13.16,3.25,98,893,snohomish,-121.501348,48.061913
Yes,2014,1612,30,-95,144,-1.37,3197,3.92,-5.4,8.18,-0.33,81,555,snohomish,-121.347041,48.106422
Yes,2015,1023,10,-99,109,-0.52,2312,5.55,-5.33,10.22,0.87,123,821,chelan,-121.131364,47.906697
No,2014,507,44,-89,3,1.89,290,9.59,-4.02,16.25,2.93,142,1512,adams,-118.332451,46.991571
No,2014,542,-32,-94,19,1.75,282,9.39,-4.25,16.02,2.76,143,1490,adams,-118.40148,46.988149
No,2014,759,-2,-99,16,0.32,293,8.1,-6.61,14.11,2.11,178,1332,douglas,-119.314687,47.714457
Yes,2014,940,-93,35,50,-0.15,442,7.67,-6.53,13.38,1.97,206,1262,okanogan,-118.855175,48.26722
No,2014,458,44,-89,4,1.68,230,9.77,-4.42,16.35,3.2,175,1555,grant,-119.069349,47.283794
No,2014,119,0,0,0,3.02,196,12.37,-2.51,18.9,5.84,297,1934,benton,-119.52291,46.714986
No,2014,246,22,-97,5,2.41,195,11.36,-3.52,17.96,4.78,272,1820,grant,-119.709295,46.75357
No,2014,235,0,-100,1,2.67,194,11.67,-3.15,18.06,5.28,312,1782,grant,-119.869932,46.701785
No,2014,324,71,70,51,3,343,11.43,-2.1,17.81,5.05,225,1682,walla_walla,-118.277976,46.502617
No,2014,419,86,-49,5,1.87,223,9.92,-4.21,16.34,3.5,192,1537,grant,-119.062307,47.112639
Yes,2014,1163,89,43,67,-0.69,537,5.69,-8.51,11.38,0.01,142,1047,ferry,-118.627956,48.454249
No,2014,302,-31,-94,1,2.55,226,10.65,-3.18,17.24,4.05,184,1627,franklin,-118.987529,46.634037
Yes,2014,569,-97,-21,55,1,467,8.53,-5.63,14.99,2.08,145,1410,ferry,-118.276043,48.196629
No,2014,340,-54,83,60,1.29,327,9.95,-4.96,16.37,3.53,212,1612,okanogan,-119.447648,48.685181
No,2014,200,-90,43,9,3.19,241,11.58,-2.21,18.13,5.03,227,1759,franklin,-118.947491,46.308043
No,2014,434,11,99,8,3.04,249,10.68,-2.87,16.59,4.77,199,1473,benton,-119.260224,46.128996
No,2014,792,-61,-79,30,0.25,264,7.79,-5.94,14.63,0.94,125,1360,kittitas,-120.239389,46.840179
Yes,2014,805,-98,-19,32,-0.67,365,8.01,-6.69,13.52,2.5,249,1324,okanogan,-119.759542,48.34686
No,2014,659,88,46,12,0.38,289,8.61,-6.44,14.56,2.65,204,1386,douglas,-119.675019,47.692702
No,2014,232,-44,89,5,2.11,197,10.66,-3.5,17.7,3.63,220,1673,yakima,-120.163825,46.357531
No,2014,243,98,19,2,2.25,215,10.87,-3.23,17.84,3.9,208,1709,yakima,-120.139222,46.194478
No,2014,421,-49,-87,13,2.78,267,10.77,-2.94,17.07,4.48,200,1598,franklin,-118.64309,46.654016
No,2014,673,74,67,36,2.1,543,10.52,-1.95,15.59,5.44,276,1351,columbia,-117.910587,46.362141
No,2014,809,-63,76,88,1.23,957,8.88,-3.99,14.65,3.11,193,1260,walla_walla,-118.047825,46.133267
Yes,2014,1804,91,-40,102,-3.5,1619,2.96,-7.59,7.41,-1.49,137,652,okanogan,-120.449831,48.286282
No,2014,150,100,0,1,3.23,216,11.67,-1.94,18.31,5.04,184,1753,benton,-119.75836,45.89199
No,2014,676,-65,-75,6,0.83,252,8.86,-6.21,14.82,2.9,211,1414,grant,-119.623511,47.368179
Yes,2014,1296,0,99,82,-2.44,484,6.47,-5.31,11.47,1.47,236,1083,chelan,-120.104969,47.991754
Yes,2014,965,16,-98,68,-0.57,817,7.67,-5.71,12.73,2.62,255,1182,chelan,-120.419031,47.594704
No,2014,1031,98,-18,46,0.46,456,8.86,-3.19,13.78,3.95,304,1154,asotin,-117.414907,46.334912
Yes,2014,1526,99,9,64,-0.28,1129,5.02,-6.02,9.35,0.69,120,792,pend_oreille,-117.430838,48.194346
Yes,2014,564,-89,-44,1,2.19,451,9.17,-4.06,15.52,2.82,117,1386,spokane,-117.357053,47.844133
Yes,2014,1634,54,83,38,-0.58,990,5.86,-5.5,10.51,1.21,217,821,garfield,-117.572509,46.214363
No,2014,751,-38,92,17,1.78,483,8.64,-3.85,14.82,2.47,116,1302,whitman,-117.305715,47.201023
No,2014,818,-12,99,42,1.72,556,8.53,-3.5,14.38,2.71,135,1244,whitman,-117.289999,47.039444
No,2014,781,86,-50,16,1.56,586,8.48,-3.57,14.56,2.39,126,1268,whitman,-117.110495,47.006699
No,2014,361,78,61,44,2.76,385,11.33,-1.44,17.11,5.55,249,1590,asotin,-117.258481,46.396016
No,2014,1113,94,32,26,0.06,473,7.97,-4.09,13.42,2.53,207,1156,asotin,-117.056113,46.079885
Yes,2014,1253,44,-89,60,0.27,749,6.2,-6.75,11.2,1.21,140,933,stevens,-117.643803,48.936339
No,2014,605,2,99,65,1.69,725,7.6,-6.08,13.84,1.36,76,1211,pend_oreille,-117.347395,48.986233
No,2014,483,-83,-55,25,1.62,503,8.45,-5.58,15.03,1.88,90,1369,stevens,-118.004375,48.596423
Yes,2014,950,-99,-8,46,0.62,589,8.74,-4.63,13.58,3.91,309,1240,stevens,-118.079674,48.003792
No,2014,692,100,0,7,1.39,343,8.23,-5.33,14.48,1.98,118,1310,lincoln,-118.419719,47.646598
Yes,2014,412,-93,-35,33,2.05,396,9.64,-4.07,16.28,3,129,1534,stevens,-118.147709,48.301333
Yes,2014,1395,63,-76,97,-0.9,669,5.71,-7,10.5,0.91,188,942,stevens,-117.95159,48.23901
Yes,2014,694,-86,-49,33,1.53,571,8.03,-5.56,14.41,1.67,70,1285,stevens,-117.717171,47.992946
Yes,2014,730,90,-42,45,0.86,739,7.41,-6.28,14.02,0.8,98,1220,pend_oreille,-117.32614,48.524296
No,2014,468,-85,-51,18,2.96,426,11.56,-1.28,17.35,5.79,235,1604,whitman,-117.605844,46.700228
No,2014,652,14,-98,10,1.64,415,8.62,-4.4,14.95,2.29,115,1342,spokane,-117.806929,47.29587
No,2014,572,89,-44,15,1.84,413,9.21,-4.06,15.75,2.68,131,1434,whitman,-117.828588,47.139517
No,2014,576,84,-53,12,1.59,307,9.06,-4.52,15.65,2.47,132,1446,adams,-118.361919,47.154741
No,2014,507,-100,0,3,2,379,9.76,-3.49,16.51,3.02,134,1524,adams,-117.984102,47.009394
No,2014,523,87,-47,34,2.07,398,9.91,-3.13,16.67,3.14,135,1537,whitman,-117.810234,46.978477
No,2014,500,-100,0,1,2.05,330,9.76,-3.7,16.4,3.1,139,1518,adams,-118.157485,46.96257
No,2014,476,16,98,19,2.87,620,10.9,-1.94,16.76,5.05,252,1516,walla_walla,-118.212515,46.026431
Yes,2014,1403,-42,90,26,-1.24,482,5.52,-7.77,10.26,0.78,192,896,ferry,-118.785738,48.876808
No,2014,572,-98,18,31,2.4,431,10.56,-2.3,16.56,4.55,209,1501,garfield,-117.583983,46.535456
No,2014,397,-51,-85,63,2.89,375,11.3,-1.91,17.14,5.47,257,1587,columbia,-118.098546,46.47208
Yes,2014,1056,-82,57,78,0.27,761,6.16,-6.55,11.27,1.06,148,979,stevens,-117.87292,48.973232
Yes,2014,904,-100,0,75,0.85,490,8.53,-4.96,13.69,3.37,243,1231,stevens,-118.091339,48.141889
No,2014,645,20,-97,31,0.85,244,8.83,-6.25,14.7,2.96,205,1386,grant,-119.727508,47.396234
No,2014,114,-44,89,4,3.85,221,12.24,-1.52,18.55,5.93,229,1753,walla_walla,-118.930572,46.140849
No,2014,737,-100,0,5,0.97,322,7.7,-6.06,14.27,1.12,95,1316,lincoln,-118.602856,47.751665
No,2014,685,-99,-4,38,0.48,324,8.99,-5.92,14.74,3.24,237,1421,okanogan,-119.387598,48.193981
No,2014,420,91,-39,2,2.12,226,10.58,-4.07,16.07,5.08,290,1503,grant,-119.93901,47.185556
No,2014,363,88,47,4,1.92,180,10.11,-4.73,16.68,3.55,198,1598,grant,-119.74671,47.073085
No,2014,330,43,89,14,2.22,192,10.68,-3.99,17.04,4.32,242,1610,grant,-119.650546,46.923577
Yes,2014,1235,79,60,63,-1.15,439,5.7,-7.81,10.86,0.55,180,968,okanogan,-118.930717,48.932776
Yes,2014,1223,86,49,6,-1.96,476,4.95,-9.3,10.8,-0.89,156,1059,okanogan,-119.121657,48.854748
No,2014,298,9,99,16,2.96,261,11.16,-2.49,17.66,4.66,221,1701,franklin,-118.788158,46.431835
No,2014,176,31,94,1,2.79,214,12.07,-2.49,18.56,5.58,296,1948,benton,-119.496965,46.559665
No,2014,177,98,16,15,3.24,227,11.88,-2.21,18.36,5.41,235,1780,benton,-119.460196,46.235643
Yes,2014,1366,99,0,71,-2.37,528,4.97,-8.01,9.72,0.23,205,903,okanogan,-118.880442,48.578985
Yes,2014,1069,93,36,186,-0.78,1694,5.96,-6.19,10.87,1.05,141,931,chelan,-120.964227,47.978137
Yes,2014,1306,68,-72,39,-2.12,500,5.73,-7.44,10.91,0.54,197,1051,okanogan,-119.882389,48.377702
Yes,2014,1392,-90,41,86,-1.31,793,4.89,-6.15,9.72,0.05,174,828,kittitas,-120.303166,47.166186
Yes,2014,893,90,-42,55,0.43,754,7.3,-5.37,12.96,1.64,160,1130,kittitas,-120.447331,47.173253
No,2014,280,98,17,35,1.42,276,10.43,-4.94,16.71,4.16,253,1679,okanogan,-119.899006,48.042878
No,2014,821,-96,-26,18,0.93,349,8.32,-4.69,14.15,2.48,164,1262,kittitas,-120.265347,47.006207
No,2014,579,94,31,10,1.41,278,9.07,-4.79,15.45,2.7,196,1414,yakima,-120.75033,46.688369
Yes,2014,863,70,70,10,1.28,418,8.11,-4.8,14.09,2.16,159,1249,yakima,-120.864803,46.630292
Yes,2014,968,69,-72,24,0.66,692,6.6,-5.12,12.59,0.61,82,1090,yakima,-121.107706,46.679961
No,2014,288,70,70,3,2.12,208,10.7,-3.94,17.92,3.48,187,1716,yakima,-120.694425,46.366482
No,2014,237,89,44,1,1.92,188,10.69,-3.87,17.89,3.48,208,1743,yakima,-120.504429,46.332736
Yes,2014,684,-93,34,52,1.83,725,8.07,-3.73,14.45,1.71,94,1204,yakima,-121.19602,46.124989
Yes,2014,1142,7,99,17,0.92,832,6.86,-4.5,12.04,1.68,138,935,klickitat,-120.969201,46.003571
Yes,2014,376,-98,18,87,3.66,2722,9.03,-1.39,13.76,4.31,64,866,snohomish,-121.568512,48.20026
No,2014,665,82,57,40,2.37,469,9.15,-3.17,14.93,3.38,167,1242,klickitat,-120.927653,45.691595
Yes,2014,27,78,-61,35,6.45,1695,10.72,1.49,15.8,5.63,38,923,mason,-123.006047,47.280432
Yes,2014,530,-47,-88,24,4.59,2042,9.23,-0.46,14.47,4,74,936,lewis,-122.421652,46.398473
No,2014,193,-80,59,27,6.54,1188,10.67,1.24,15.66,5.7,33,957,pierce,-122.182708,47.058346
Yes,2014,637,89,43,107,2.27,780,8.89,-3.25,14.64,3.15,153,1187,klickitat,-121.148446,45.984108
Yes,2014,789,61,78,181,3.2,3076,7.84,-0.87,11.68,4,80,633,king,-121.468344,47.737488
Yes,2014,831,9,-99,13,1.38,2767,6.44,-3.74,11.15,1.74,90,825,kittitas,-121.365479,47.417952
Yes,2014,882,-68,-72,158,1.69,3401,5.67,-2.89,9.67,1.67,76,560,king,-121.586288,47.430632
Yes,2014,903,12,-99,67,0.76,974,6.69,-5.21,12.29,1.09,98,1056,kittitas,-120.870492,47.327487
Yes,2014,680,77,-63,51,1.75,599,7.8,-4.96,13.58,2.01,105,1130,kittitas,-120.810256,47.172417
No,2014,905,-48,87,48,0.74,391,8.47,-4.34,14.08,2.88,216,1250,kittitas,-120.597551,46.82643
Yes,2015,1701,-99,6,51,-4.01,1636,2.49,-9.09,7.52,-2.53,97,705,okanogan,-120.417591,48.978494
No,2014,1711,-2,99,110,-3.06,1887,2.6,-8.13,6.84,-1.64,100,658,chelan,-120.665336,48.48875
No,2014,764,-16,-98,8,1.56,402,8.18,-4.84,13.84,2.53,150,1176,kittitas,-120.634805,47.142425
Yes,2014,821,88,46,85,3.39,1836,7.66,-1.39,12.38,2.94,57,836,pierce,-121.975923,46.863361
Yes,2014,1207,-3,-99,48,0.03,2037,6.01,-4.42,10.95,1.08,122,789,yakima,-121.48019,46.094886
No,2014,9,-100,0,2,6.98,1009,10.53,1.79,15.09,5.97,29,743,skagit,-122.318086,48.49435
Yes,2014,1155,-62,77,155,0.73,2102,5.92,-3.62,10.52,1.32,108,775,skamania,-121.716581,46.285625
Yes,2015,1347,70,70,155,0.91,4504,4.94,-3.28,8.93,0.95,75,508,king,-121.612225,47.602911
Yes,2014,605,39,-91,183,3.92,2996,8.32,-0.82,12.7,3.95,62,771,king,-121.643175,47.524521
Yes,2014,1174,47,-87,86,2.68,3010,6.3,-1.88,9.95,2.65,68,498,king,-121.743421,47.388708
Yes,2014,1150,-92,38,174,2.33,1689,6.3,-2.96,10.77,1.84,55,715,pierce,-121.664578,47.072913
Yes,2014,496,-27,-96,91,4.89,3284,8.88,-0.14,13.25,4.51,70,781,cowlitz,-122.572079,46.004567
Yes,2014,199,-11,-99,65,6.12,1606,10.97,0.82,16.42,5.52,54,1056,cowlitz,-122.629819,45.952874
Yes,2014,75,55,-83,18,6.89,837,10.46,1.62,15.02,5.9,27,764,island,-122.383688,48.014411
No,2014,63,62,-78,15,6.93,1000,11.73,2.6,16.07,7.38,109,935,king,-122.288049,47.529249
Yes,2014,1150,-55,83,97,2.83,2155,5.93,-2.61,9.6,2.25,67,447,pierce,-121.880635,47.083498
Yes,2014,302,-58,-81,81,5.36,1619,9.15,0,14,4.31,23,878,pierce,-122.045912,47.059528
Yes,2014,261,-85,-52,106,3.76,2162,8.68,-1.65,13.57,3.79,49,836,skagit,-121.794217,48.551683
Yes,2014,410,39,91,168,3.13,2132,9,-1.33,14.07,3.93,60,903,skagit,-121.943886,48.506936
Yes,2014,297,33,-94,51,6.69,2616,9.73,1.26,14.43,5.04,31,658,clallam,-124.212153,48.033509
Yes,2014,112,92,37,5,6.78,2977,10.3,2.27,14.81,5.79,25,729,clallam,-124.401488,48.01577
Yes,2016,1222,-47,88,120,1.09,4231,5.74,-2.56,9.85,1.62,109,643,jefferson,-123.381353,47.619969
Yes,2014,278,24,-96,136,5.81,3318,9.73,1.27,14.12,5.34,39,695,jefferson,-123.986436,47.843441
Yes,2014,893,76,-63,46,3.4,3528,7.59,-1.33,11.8,3.39,82,729,cowlitz,-122.355076,46.067546
No,2014,81,-70,-70,6,6.44,1273,11.43,1.24,16.79,6.08,64,1096,clark,-122.486248,45.703318
No,2014,189,-91,-39,4,4.99,1766,9.6,-0.72,14.09,5.12,53,815,whatcom,-122.096645,48.999397
Yes,2015,189,-68,73,69,5.12,1837,10.75,-0.14,16.32,5.18,92,1177,skamania,-121.809196,45.746891
No,2014,131,-65,-75,7,6.52,1070,10.78,1.36,15.72,5.83,39,937,pierce,-122.400166,47.158793
Yes,2014,178,94,-31,9,6.14,3030,10.73,1.25,15.76,5.7,60,943,mason,-123.33686,47.289458
Yes,2014,149,-76,64,16,6.66,2424,10.26,1.5,15.03,5.49,30,743,grays_harbor,-123.666027,47.088371
Yes,2014,832,-39,91,181,3.55,3446,8.21,-0.25,12.57,3.85,93,733,mason,-123.189166,47.575197
Yes,2014,435,89,44,86,5.98,3579,9.58,1.74,13.74,5.42,55,638,pacific,-123.700894,46.558925
Yes,2014,1259,-21,97,40,-1.12,472,6.24,-7.51,11.39,1.09,206,1046,okanogan,-118.887855,48.440689
No,2014,656,61,-78,5,1.29,315,8.38,-5.26,14.84,1.93,117,1365,lincoln,-118.580387,47.590774
Yes,2014,1118,8,-99,71,0.14,507,7.04,-6.78,12.01,2.07,202,1080,ferry,-118.705634,48.404377
Yes,2015,1330,89,-44,88,-0.93,654,6.07,-7,10.74,1.39,213,974,ferry,-118.492832,48.310086
Yes,2014,492,99,7,103,5.98,2255,8.97,0.56,13.39,4.55,41,605,clallam,-124.262496,48.162302
Yes,2014,374,99,8,112,4.86,858,9.03,-0.11,13.67,4.4,54,799,clallam,-123.108218,47.966929
Yes,2014,95,74,-67,48,6.61,2283,10.6,1.64,15.96,5.24,22,870,grays_harbor,-123.434943,47.076496
No,2014,51,0,0,6,6.98,1257,11.16,1.66,16.69,5.63,22,1004,lewis,-123.032359,46.632554
Yes,2014,127,-64,-76,6,6.01,1848,10.2,0.61,15.85,4.56,21,945,pacific,-123.379361,46.639257
Yes,2014,560,-32,94,61,5.48,2117,9.28,0.91,13.7,4.87,57,729,cowlitz,-123.105211,46.346534
Yes,2014,799,-88,-46,115,0.24,752,6.85,-6.8,13.49,0.21,106,1175,pend_oreille,-117.288906,48.485045
Yes,2014,629,-19,-98,14,1.56,633,7.74,-5.67,14.49,1,61,1302,pend_oreille,-117.249805,48.307422
Yes,2014,1342,87,47,93,-0.76,779,6.13,-5.61,10.54,1.72,212,859,chelan,-120.356774,47.649321
Yes,2014,1223,73,-68,64,-0.54,1016,4.2,-8.55,10.36,-1.95,42,878,pend_oreille,-117.147005,48.666261
No,2014,106,-99,-1,30,6.55,1318,11.39,1.23,16.79,5.99,57,1072,clark,-122.681278,45.876374
Yes,2014,949,-62,-78,36,1.52,784,7.1,-4.61,13.44,0.76,41,1131,yakima,-121.024434,46.191965
No,2014,269,-41,-91,4,2.45,189,11.06,-3.6,17.51,4.61,240,1682,grant,-119.552705,46.884498
Yes,2014,2014,-10,99,182,-3.72,1179,2.22,-7.94,6.9,-2.45,153,628,chelan,-120.854824,47.512115
Yes,2014,510,-86,-49,76,0.43,2272,8.17,-4.31,13.85,2.48,143,1171,snohomish,-121.193723,48.25021
Yes,2014,335,-22,97,79,6.02,5015,9.95,2.13,14.06,5.85,85,722,grays_harbor,-123.692035,47.428273
No,2014,220,-41,91,14,2.77,221,11.18,-2.73,17.76,4.59,205,1689,franklin,-119.149136,46.580106
Yes,2014,430,99,5,35,4.9,2010,8.95,-0.59,13.84,4.05,28,860,king,-121.716543,47.230021
Yes,2014,60,-53,84,9,6.61,1338,10.95,1.43,16.28,5.62,34,988,thurston,-122.732212,46.986062
No,2014,12,91,-39,3,6.71,1420,11.24,2.07,15.98,6.5,62,936,mason,-122.830736,47.465901
Yes,2014,217,30,-95,22,6.2,2773,11.01,1.06,16,6.02,69,986,mason,-123.159087,47.430087
Yes,2014,232,67,73,113,6.63,3145,9.53,2.05,13.47,5.6,19,617,clallam,-124.632821,48.30961
Yes,2014,489,20,-97,136,5.4,3650,9.02,1.04,13.06,4.97,70,666,pacific,-123.520959,46.440652
Yes,2014,1211,-92,38,83,0.24,876,6.46,-5.3,11.58,1.36,153,1004,kittitas,-120.642103,47.306402
Yes,2014,688,66,-74,8,1.48,626,7.94,-5.65,14.59,1.29,69,1308,spokane,-117.403742,48.013104
Yes,2014,1299,-96,-27,65,-0.81,804,5.1,-7.08,10.23,-0.04,140,882,stevens,-117.505858,48.989065
Yes,2014,880,44,-89,47,0.75,738,6.61,-6.73,12.94,0.28,71,1135,pend_oreille,-117.352766,48.963829
No,2014,340,-94,-31,8,2.48,223,10.39,-3.47,16.88,3.89,175,1563,franklin,-119.002306,46.711926
No,2014,439,48,-87,66,2.21,223,10.53,-3.73,16.39,4.66,275,1533,yakima,-120.044816,46.730712
No,2014,443,-75,65,15,2.62,232,10.81,-2.76,16.57,5.06,262,1541,benton,-119.853227,46.535534
Yes,2014,1102,-53,-84,108,2.34,2403,6.72,-1.84,10.7,2.74,109,635,lewis,-122.115547,46.417358
Yes,2014,692,-78,61,67,-0.42,372,8.03,-7.25,13.95,2.11,225,1348,okanogan,-119.488503,48.859679
No,2014,563,-100,0,9,1.23,269,9.09,-4.98,15.5,2.67,168,1473,lincoln,-118.937045,47.57109
No,2014,550,64,76,11,1.4,274,9.13,-4.73,15.65,2.6,150,1473,lincoln,-118.743213,47.460031
Yes,2014,923,31,94,72,2.25,3105,7.2,-1.84,11.21,3.19,68,651,whatcom,-121.625938,48.699108
No,2014,967,60,79,35,-1.05,369,6.5,-8.13,12.03,0.96,197,1144,okanogan,-119.273266,48.740056
No,2014,685,-21,-97,33,0.34,279,8.39,-6.27,14.26,2.53,200,1355,douglas,-119.46563,47.578362
No,2014,656,99,-5,6,0.49,285,8.71,-6.1,14.88,2.54,194,1414,douglas,-119.33995,47.879578
Yes,2014,929,-75,-65,57,0.97,1243,6.71,-4.23,11.65,1.77,118,1005,kittitas,-120.976555,47.12042
No,2014,536,37,92,7,1.73,321,9.35,-4.13,16.05,2.65,132,1490,adams,-118.172215,47.117301
No,2014,537,30,-95,30,2.83,480,10.94,-1.88,16.32,5.56,263,1435,columbia,-118.240491,46.366634
No,2014,340,-19,98,136,1.83,236,10.56,-4.4,16.51,4.62,266,1597,douglas,-119.968637,47.349241
No,2014,390,0,0,0,2.13,379,10.58,-2.92,16.76,4.4,212,1614,stevens,-118.277309,47.930345
Yes,2014,988,-62,-78,38,-1,450,7.25,-6.9,12.75,1.75,227,1229,okanogan,-119.935362,48.204641
No,2014,564,98,-14,12,2.64,266,10.17,-3.16,15.88,4.45,194,1371,benton,-119.094005,46.092869
Yes,2014,495,22,97,33,1.64,272,9.86,-4.02,16.17,3.56,197,1560,lincoln,-118.612979,47.917315
No,2014,374,96,-27,33,2.82,226,10.96,-3,17.03,4.89,256,1551,yakima,-120.306886,46.231235
No,2014,953,61,78,74,0.72,365,8.3,-4.48,13.87,2.73,228,1217,yakima,-120.280965,46.058485
Yes,2014,353,98,-15,16,5.32,2054,9.72,0.93,13.83,5.61,69,788,king,-121.781498,47.725403
No,2014,540,-37,-92,3,1.67,245,8.78,-5.58,15.29,2.27,140,1352,kittitas,-120.448333,47.024976
Yes,2014,870,-1,99,72,1.52,3185,6.55,-2.8,10.75,2.36,97,719,king,-121.436545,47.567036
Yes,2014,857,97,-24,24,1.57,578,8.13,-4.32,14.15,2.11,99,1243,spokane,-117.135798,47.359163
No,2014,591,-83,-54,9,1.1,265,9.19,-5.42,15.49,2.89,190,1479,grant,-119.12886,47.689467
Yes,2014,1,70,-70,1,7.9,2063,10.62,3.48,14.45,6.79,26,558,pacific,-124.003171,46.367132
Yes,2014,1760,79,60,143,-3.75,2005,2.7,-7.78,7.29,-1.89,119,654,snohomish,-120.974648,48.151595
No,2014,841,-11,-99,27,0.6,256,8.69,-4.34,14.32,3.07,250,1331,yakima,-120.020919,46.575129
Yes,2014,1900,-43,90,36,-3.47,2982,2.35,-6.9,6.93,-2.24,118,612,skamania,-121.544014,46.235877
No,2014,585,-35,-93,4,1.54,308,9,-4.5,15.52,2.47,139,1435,lincoln,-118.367508,47.315343
No,2014,464,91,-40,31,1.66,236,9.78,-4.51,16.4,3.15,168,1563,lincoln,-118.917292,47.410879
Yes,2014,522,-42,90,19,2.97,428,9.79,-2.25,15.58,4,164,1283,klickitat,-121.128903,45.808293
No,2014,306,-72,68,33,2.84,379,12.18,-1.16,18.77,5.59,250,1896,asotin,-117.00745,46.035681
No,2014,608,44,-89,5,1.16,283,9,-5.32,15.33,2.67,172,1453,lincoln,-118.959865,47.726957
No,2014,83,91,39,15,6.91,1112,11.2,2,15.77,6.63,54,903,king,-122.148394,47.67264
Yes,2014,46,52,-84,78,6.8,1165,11.08,1.93,15.82,6.35,47,877,kitsap,-122.874413,47.626416999999996
No,2014,653,-75,-66,17,1.11,301,8.43,-5.4,14.88,1.97,131,1394,lincoln,-118.7656,47.622019
No,2014,461,-99,10,30,2.43,359,11.01,-2.25,16.95,5.07,253,1583,whitman,-118.112404,46.638428
No,2014,699,-12,-99,13,1.96,509,8.53,-4.36,14.53,2.53,112,1291,spokane,-117.171523,47.632386
Yes,2014,993,99,3,135,0.07,681,7.19,-5.82,12.31,2.07,200,1094,chelan,-120.499758,47.345958
No,2014,794,98,-18,79,0.3,449,8.37,-5.44,13.48,3.27,242,1223,chelan,-120.298034,47.31861
Yes,2014,1014,-94,-33,100,0.97,2199,6.03,-4.67,10.44,1.63,114,771,kittitas,-121.210169,47.467571
No,2014,305,38,-92,13,1.42,338,10.26,-4.46,16.52,4,230,1626,chelan,-120.508372,47.521874
Yes,2014,1039,87,-48,36,0,789,5.52,-7.78,12.31,-1.27,41,1088,pend_oreille,-117.465796,48.678474
Yes,2014,584,37,92,106,4.59,3249,8.66,0.48,13.04,4.28,78,693,clallam,-124.052058,48.017417
No,2014,1575,65,-75,65,-3.2,4596,3.47,-5.85,7.73,-0.79,133,652,snohomish,-121.350166,47.959121
No,2014,474,100,0,3,1.71,310,9.7,-4.52,16.4,3.01,198,1517,yakima,-120.720856,46.531486
Yes,2014,622,-59,80,107,2.64,3367,8.43,-1.29,12.94,3.91,74,761,skagit,-121.77513,48.408637
No,2014,447,74,67,12,1.61,236,9.88,-4.5,16.61,3.15,205,1561,yakima,-120.561087,46.648923
No,2014,7,-44,-89,2,6.69,969,10.47,1.5,14.72,6.23,47,738,whatcom,-122.589534,48.83265
Yes,2014,948,-44,89,7,0.25,768,6.56,-6.51,11.89,1.23,165,1074,stevens,-118.024101,48.926694
No,2014,1089,76,64,280,-3.56,1733,3.8,-7.43,8.7,-1.1,139,772,chelan,-121.024221,48.461862000000004
No,2014,1366,69,-72,243,-2.42,1565,4.59,-7.02,9.09,0.08,156,796,chelan,-120.840691,48.276954
Yes,2014,110,87,-48,4,6.77,1124,10.83,2,15.06,6.6,59,789,snohomish,-122.184556,47.842139
No,2014,831,-93,34,96,-0.07,855,6.19,-7.23,12.67,-0.28,84,1128,pend_oreille,-117.285845,48.812429
